text,likes,author,date,compound_score,category
"Please note : (i) While learning overloading we have represented complex numbers’ real & img part as i & j to make the concept understandable for younger & non-math students. No need to worry if you don't understand complex numbers, it is just an example used to understand overloading❤️

(ii) Another Complete Tutorial, hope it helps you start your Python journey ❤
Other languages taught in same manner on this channel - 
1. Python Complete Tutorial
2. C Language Complete Tutorial
3. HTML & CSS Complete Tutorial 
4. JavaScript Complete Tutorial 
5. Java Language with DSA Playlist 
6. Git & GitHub Tutorial 
and more are coming ❤",2869,@ApnaCollegeOfficial,2024-02-12T14:28:01Z,0.4019,Positive
"Day 1 : @1:00:00
Day 2 : @2:00:00
Day 3 : @3:27:13
Day 4 : @4:06:18
Day 5 : @5:01:24
Day 6 : @6:04:26
Day 7 : @7:05:27
Day 8 : @7:55:30
Day 9 : @8:51:24
Day 10 : @10:00:03
Day 11: Completed
Thank you!",2965,@nrk07,2024-02-14T10:00:40Z,0.4199,Positive
I could sense how her voice was getting tired and cracked when speaking continously. thanks from the bottom of my heart.,883,@ArpitGKapoor,2025-02-10T11:58:01Z,0.0,Neutral
Jiske pass laptop nahi hai to bhi video dekh raha hai wo like kare😂,6779,@Rapid_shorts_king,2024-05-10T14:00:43Z,0.3612,Positive
Anyone in Jan 2026 🤗🧑‍💻,154,@thegracehaus,2026-01-01T04:17:21Z,0.0,Neutral
Aapko content creator award na dena… is desh ka durbhaagya hai.. jo actual me logo ka furture banane me itni help kr rhe hain… u deserve a lot lot more respect.. big fan mam.. huge respect for you.,733,@shubhamkapoor1588,2025-02-05T07:47:00Z,0.9211,Positive
This is one of the best tutorial which covers all the important Python topics in one single video. Please create such videos for Python Libraries.,703,@abhinavrastogi1699,2024-03-03T13:22:04Z,0.8555,Positive
Anyone here in 31 dec and tomorrow is 2026 or happy new year,93,@dakshsaini3349,2025-12-31T09:40:55Z,0.5719,Positive
"Is it only me or Anyone else  watching this video in August 2024 ?😅😅
(July to  katham ho gya  😅but still watching this)",1051,@Ivy.silvermist123,2024-07-05T09:46:53Z,0.0,Neutral
"print(""THANKYOU VERY MUCH MA'AM ❤🎉😊"")",18,@BEN-10-FF,2025-12-23T18:46:42Z,0.0,Neutral
This is for class 11 cs students 😅😅,2,@OmkarKhobare-h4u,2026-01-16T06:35:05Z,0.0,Neutral
"One of the best course ever for me when you were teaching i thought that my friend is explaining the topic of python, you just not teached the python but also teached how python works , way you teach me I have been having very excitement in the morning after the bath to sit for making notes and learning python thank you mam,(my god) for making my vacation such interesting since I am in 8th class I have time in vacations only",10,@DurgeshSuthar-,2024-04-11T17:15:59Z,0.9454,Positive
Anyone in December 2025😊😊😊,266,@Kartiktyagigaming2011kk,2025-12-11T12:20:53Z,0.0,Neutral
"VOTE FOR ❤DATA SCIENCE ❤Full course  2025
Support bhai aur bahan log",10,@RayalJamJam,2025-12-19T04:58:10Z,0.4019,Positive
Itna quality content b ha youtube pe,1,@ronaldo-m8j1r,2026-01-15T21:54:12Z,0.34,Positive
FINALLY COMPLETED !!!!!!!!! THANKS FOR TEACHING US PYTHON IN SUCH A EASY TO UNDERSTAND AND FRIENDLY WAY. THANKS FOR SHARING. NOW I CAN START EXPLORING INTO MACHINE LEARNING AND AI. LETS SEE WHAT THE FUTURE HOLDS. WISH ME LUCK MATES AND ALL THE  BEST TO YOU ALL TOO. REMEMBER NEVER STOP LEARNING IN LIFE. IF YOU STOP LEARNING AND GROWING THEN YOU BEGIN TO ROT. BYE,225,@user-ef3uq9qe9f,2025-03-23T17:02:53Z,0.9905,Positive
"day 1, 2:41:49
day 2, 6:32:46
day 3, Finished! thanks shradha it was Very Easy to understand
now i just have to practice",218,@Aofbiwjqoqbc,2024-03-06T09:51:47Z,0.7495,Positive
"Bca students  you can click ""❤"" button",8,@RajMali-w5r,2025-12-20T11:13:23Z,0.0,Neutral
please like it remined me to see video again,20,@ravihu-_-u,2024-07-12T15:04:07Z,0.5859,Positive
"Day1 : 4:05:00
Day2 : 7:55:25
Day3 : 10:24:51
COMPLETED----",17,@IshantTyagi-x9o,2024-10-04T05:32:13Z,0.0,Neutral
"Class 12 students 
Mark your attendance here ❤",10,@JustDoIt9175,2024-03-20T14:40:37Z,0.0,Neutral
